title,car_model_name,car_color,car_mileage,location,date,price,image
مرسيدس C 180 2014,C 180,أسود,"155,000 كم",العاشر من رمضان,2024-05-20,"1,550,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/03/6442443/medium_up_17257b960208bae0b4a7c61431e34b85.jpg
مرسيدس S 450 2023,S 450,فضي,"4,150 كم",القاهرة,2024-05-20,"9,000,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/14/6465772/medium_up_66e239127cc668747dc57282c621d4d3.jpg
مرسيدس C 200 2022,C 200,أسود,"9,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"3,400,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/14/6465936/medium_up_0f7ca6822059f6b79ee7b4aa1fdca6b3.jpg
مرسيدس GLC 300 2024,GLC 300,فضي,1 كم,القاهرة,2024-05-20,"6,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/13/6464892/medium_up_cbcf48763f31aa4579e51fdb41fec9f6.jpg
مرسيدس A 200 2015,A 200,رمادي,"200,000 كم",المهندسين,2024-05-20,"1,100,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/13/6464421/medium_up_d08f06b39a05259f96019c31160dedd3.jpg
مرسيدس C 180 2010,C 180,بترولي,"175,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"1,050,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/04/15/6404841/medium_up_51b2aa5f228dcdec345feee44e328b6b.jpg
مرسيدس C 180 2019,C 180,أزرق,"158,268 كم",التجمع - القاهرة الجديدة,2024-05-20,"2,350,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/13/6463783/medium_up_f3ecce1f43b2d16366df912ccdc024a9.jpg
مرسيدس C 180 2022,C 180,فضي,"2,700 كم",التجمع - القاهرة الجديدة,2024-05-20,"2,975,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/13/6463557/medium_up_4b1c87cd685d07af2f1f82416a1ff159.jpg
مرسيدس CLA 200 2023,CLA 200,أسود,- كم,التجمع - القاهرة الجديدة,2024-05-20,"2,800,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/13/6462877/medium_up_06dc8d51867bd7d42ceef574bbb3deba.jpg
مرسيدس C 200 2023,C 200,أبيض,"3,000 كم",الزقازيق,2024-05-20,"2,695,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/13/6462844/medium_up_7844e2c8a2fe87143209bb9684f02a94.jpg
مرسيدس E 180 2016,E 180,بترولي,"180,000 كم",مدينة نصر,2024-05-20,"2,050,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/12/6462496/medium_up_47a08abf40db1c17d302048414a748cd.jpg
مرسيدس A 200 2022,A 200,أسود,"30,000 كم",مدينة الشيخ زايد,2024-05-20,"2,300,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/12/6462135/medium_up_dbc6a2d87e3f177ed8cf9cc41ece6f49.jpg
مرسيدس C 180 2018,C 180,أزرق,"126,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"2,200,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/12/6462207/medium_up_8d4e1dd5b5dbd37e1bd803c2b995ccc6.jpg
مرسيدس C 180 2022,C 180,فضي,"40,000 كم",المنصورة,2024-05-20,"3,450,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/12/6461385/medium_up_c19ae064e7fdb639bad608054e10604f.jpg
مرسيدس C 180 2014,C 180,أسود,"88,000 كم",الجيزة,2024-05-20,"190,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/12/6461319/medium_up_6b58572c50392d3d8e221a59e09ec174.jpg
مرسيدس A 200 2022,A 200,أسود,"64,500 كم",القاهرة,2024-05-20,"2,340,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/02/13/6281187/medium_up_37321fb4da24e394e60d7e5dd9bda3ff.jpg
مرسيدس C 180 2023,C 180,أسود,- كم,شيراتون,2024-05-20,"3,750,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/12/6461190/medium_up_bee8df4b9c813eb88e3aaaabce75c2ef.jpg
مرسيدس GLC 200 AMG مستوردة 2023,GLC 200 AMG مستوردة,أسود,"8,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"4,850,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/07/6451482/medium_up_bc69e130060f3f93ca7f5abc52493029.jpg
مرسيدس C 180 2016,C 180,فضي,"30,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"2,450,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/12/6461125/medium_up_d0453c02a6e9b59d70492bf60f66d8af.jpg
مرسيدس GLA 2024,GLA,أبيض,0 كم,مصر الجديدة,2024-05-20,"3,700,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/12/6460815/medium_up_d492295f1ec9d8bfba8e15f2547eda54.jpg
مرسيدس C 180 2020,C 180,أزرق,"70,000 كم",مصر الجديدة,2024-05-20,"2,750,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/12/6460656/medium_up_382ceae4a7229bb1a7b524a8df2c9215.jpg
مرسيدس C 180 2022,C 180,أزرق,"26,000 كم",6 أكتوبر,2024-05-20,"3,295,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/03/06/6329890/medium_up_38b0e0cd010282c3fcae92b01462cd15.jpg
مرسيدس GLA 2024,GLA,أسود,0 كم,التجمع - القاهرة الجديدة,2024-05-20,"3,350,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/11/6458551/medium_up_3ed5876dad81347b87ed8d3d6a58a5ca.jpg
مرسيدس C 180 2023,C 180,فضي,"35,000 كم",التجمع - القاهرة الجديدة,2024-05-20,"3,100,000 جنيه",https://media.hatla2eestatic.com/uploads/car/2024/05/10/6456889/medium_up_db8e14a8f7fd5c8e4642649c272de53d.jpg
